Song Title,Artist,Popularity,Duration,Energy,Instrumentalness,Key,Liveness,Loudness,Tempo,Speechiness,Time_Signature,Danceability,,,,,,,,,,,,,,,,,,,,,,,,
Closer to You (feat. Major Lazer),Jung Kook,77,170995,0.655,0.00249,2,0.103,-7.073,113.031,0.0457,4,0.781,,,,,,,,,,,,,,,,,,,,,,,,
Killing Me Softly With His Song,Fugees,80,298773,0.29,0,4,0.571,-17.117,92.409,0.139,4,0.765,,,,,,,,,,,,,,,,,,,,,,,,
Ye Tune Kya Kiya,Pritam,70,314240,0.798,0,7,0.111,-6.01,91.96,0.0699,4,0.578,,,,,,,,,,,,,,,,,,,,,,,,
Dime Que Sí,Jay Wheeler,72,211103,0.48,0,9,0.0735,-6.196,94.011,0.06,4,0.899,,,,,,,,,,,,,,,,,,,,,,,,
QWERTY,Linkin Park,69,201341,0.855,0.000211,6,0.139,-4.984,102.568,0.0449,4,0.561,,,,,,,,,,,,,,,,,,,,,,,,
"Milo J: Bzrp Music Sessions, Vol. 57",Bizarrap,77,192288,0.553,2.84E-06,4,0.112,-8.496,124.109,0.244,4,0.795,,,,,,,,,,,,,,,,,,,,,,,,
No Role Modelz,J. Cole,88,292799,0.521,0,10,0.0534,-8.492,100.028,0.339,4,0.69,,,,,,,,,,,,,,,,,,,,,,,,
Passada de Mão - Ao Vivo,Dilsinho,80,163575,0.707,0,11,0.912,-8.051,136.083,0.0699,4,0.739,,,,,,,,,,,,,,,,,,,,,,,,
Channa Mereya - Lofi Flip,Arijit Singh,0,127200,0.738,3.03E-06,9,0.373,-8.358,75.335,0.0653,4,0.457,,,,,,,,,,,,,,,,,,,,,,,,
Est-ce que tu m'aimes ? - Pilule bleue,GIMS,76,237093,0.852,0,2,0.212,-3.353,119.892,0.0651,4,0.779,,,,,,,,,,,,,,,,,,,,,,,,
GOVERNO PUNK,bnkr44,70,205312,0.858,0,4,0.215,-4.786,128.012,0.0436,4,0.69,,,,,,,,,,,,,,,,,,,,,,,,
Closer,The Chainsmokers,86,244960,0.524,0,8,0.111,-5.599,95.01,0.0338,4,0.748,,,,,,,,,,,,,,,,,,,,,,,,
Para de Mentir,Oruam,73,254143,0.497,0,4,0.0888,-6.839,136.538,0.0766,4,0.518,,,,,,,,,,,,,,,,,,,,,,,,
Freestyle,Lil Baby,81,162053,0.517,0,2,0.143,-5.426,119.996,0.0706,4,0.877,,,,,,,,,,,,,,,,,,,,,,,,
Mil Preguntas,The La Planta,76,177375,0.555,0,5,0.1,-6.696,99.809,0.0726,3,0.555,,,,,,,,,,,,,,,,,,,,,,,,
Who’s Afraid of Little Old Me?,Taylor Swift,84,334085,0.37,0,0,0.11,-10.488,119.87,0.0495,4,0.592,,,,,,,,,,,,,,,,,,,,,,,,
Beautiful Things,Benson Boone,88,180304,0.471,0,10,0.14,-5.692,105.029,0.0603,3,0.472,,,,,,,,,,,,,,,,,,,,,,,,
Torce o Olho - Ao Vivo,Gusttavo Lima,73,167552,0.702,0,0,0.841,-4.947,143.931,0.0449,4,0.673,,,,,,,,,,,,,,,,,,,,,,,,
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,85,229478,0.658,0,0,0.127,-7.346,100.012,0.036,4,0.596,,,,,,,,,,,,,,,,,,,,,,,,
"Salamin, Salamin",BINI,79,230219,0.614,0,5,0.247,-7.074,122.001,0.0363,4,0.819,,,,,,,,,,,,,,,,,,,,,,,,
Babyschlaf mit Meeresrauschen,Weißes Rauschen HD,69,185066,0.532,0.965,2,0.866,-16.43,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Tu jardín con enanitos,Melendi,73,236976,0.834,0,7,0.104,-4.457,127.92,0.0345,4,0.721,,,,,,,,,,,,,,,,,,,,,,,,
Diz Aí Qual é o Plano?,Mc IG,75,703158,0.581,0,4,0.0775,-3.614,72.308,0.495,5,0.59,,,,,,,,,,,,,,,,,,,,,,,,
NÚMERO TELEFÓNICO,SAIKO,68,189875,0.834,0,0,0.127,-2.79,172.008,0.0425,4,0.561,,,,,,,,,,,,,,,,,,,,,,,,
Homecoming,Kanye West,83,203493,0.747,0,1,0.115,-7.059,86.917,0.189,4,0.667,,,,,,,,,,,,,,,,,,,,,,,,
Tera Fitoor,Arijit Singh,74,310000,0.688,0.0439,9,0.262,-5.136,135.984,0.0319,4,0.576,,,,,,,,,,,,,,,,,,,,,,,,
Set Fire to the Rain,Adele,80,242974,0.67,1.68E-06,2,0.112,-3.882,107.993,0.0249,4,0.603,,,,,,,,,,,,,,,,,,,,,,,,
Ella Y Yo - Featuring Don Omar,Aventura,80,267787,0.708,0,9,0.237,-7.905,175.924,0.262,4,0.732,,,,,,,,,,,,,,,,,,,,,,,,
Stealth Mode (feat. Bas),J. Cole,76,135213,0.496,0,8,0.222,-8.602,142.009,0.144,4,0.748,,,,,,,,,,,,,,,,,,,,,,,,
Moneylove (feat. Emis Killa),Massimo Pericolo,73,172320,0.689,2.17E-05,11,0.0963,-4.941,136.962,0.0443,4,0.695,,,,,,,,,,,,,,,,,,,,,,,,
HOSS,Husayn,53,120017,0.509,1.29E-06,9,0.102,-11.057,160.166,0.421,4,0.793,,,,,,,,,,,,,,,,,,,,,,,,
Que Te Vaya Bien,Julión Álvarez y su Norteño Banda,78,151387,0.467,0,7,0.271,-5.906,97.99,0.0276,3,0.667,,,,,,,,,,,,,,,,,,,,,,,,
Me Leva Pra Casa / Escrito Nas Estrelas / Saudade - Ao Vivo,Lauana Prado,82,265451,0.805,0,9,0.556,-4.158,124.041,0.0452,4,0.629,,,,,,,,,,,,,,,,,,,,,,,,
冬と春,back number,74,256787,0.768,0,3,0.352,-4.039,152.105,0.0403,4,0.47,,,,,,,,,,,,,,,,,,,,,,,,
Ceux qu'on était,Pierre Garnier,78,172610,0.524,0,1,0.0744,-10.072,145.876,0.0322,4,0.545,,,,,,,,,,,,,,,,,,,,,,,,
Maliciosa - Ao Vivo,LUDMILLA,70,167028,0.814,0,7,0.351,-7.318,176.032,0.106,4,0.607,,,,,,,,,,,,,,,,,,,,,,,,
É Com Ela Que Eu Estou - Ao Vivo,Cristiano Araújo,63,220853,0.804,0,0,0.514,-6.396,113.106,0.0336,4,0.568,,,,,,,,,,,,,,,,,,,,,,,,
Ccuti,Desingerica,57,117624,0.727,0,0,0.292,-5.338,101.251,0.247,4,0.853,,,,,,,,,,,,,,,,,,,,,,,,
Aleph - Sped Up,fam0uz,69,72841,0.782,0.846,10,0.0747,-4.91,181.143,0.0518,4,0.48,,,,,,,,,,,,,,,,,,,,,,,,
positions,Ariana Grande,81,172325,0.802,0,0,0.0931,-4.771,144.015,0.0878,4,0.737,,,,,,,,,,,,,,,,,,,,,,,,
En La Intimidad | CROSSOVER #1,Big One,72,172118,0.555,0,1,0.0699,-4.991,89.946,0.107,4,0.804,,,,,,,,,,,,,,,,,,,,,,,,
i wonder... (with Jung Kook of BTS),j-hope,81,163598,0.692,1.04E-06,7,0.101,-5.302,100.033,0.0893,4,0.79,,,,,,,,,,,,,,,,,,,,,,,,
Mtg Quero Te Encontrar,DJ JZ,85,171755,0.588,3.66E-05,11,0.101,-0.161,86.095,0.175,3,0.733,,,,,,,,,,,,,,,,,,,,,,,,
Blue Eyes,Yo Yo Honey Singh,69,220944,0.51,0.000106,10,0.0346,-5.469,188.067,0.192,4,0.77,,,,,,,,,,,,,,,,,,,,,,,,
Wo Ladki,Arijit Singh,23,252694,0.612,6.43E-06,5,0.458,-5.891,129.965,0.0254,4,0.678,,,,,,,,,,,,,,,,,,,,,,,,
Yüreğim Ağlar,Amo988,75,203000,0.577,0,0,0.421,-9.074,109.978,0.0644,4,0.665,,,,,,,,,,,,,,,,,,,,,,,,
March!,XANAKIN SKYWOK,54,134500,0.552,0,1,0.166,-6.075,99.991,0.0402,4,0.775,,,,,,,,,,,,,,,,,,,,,,,,
I Can Fix Him (No Really I Can),Taylor Swift,87,156298,0.252,0,6,0.176,-13.961,106.917,0.0442,4,0.665,,,,,,,,,,,,,,,,,,,,,,,,
PUTAS Y MOET,Dani Flow,78,127867,0.715,0.000257,11,0.0863,-6.025,119.964,0.126,4,0.885,,,,,,,,,,,,,,,,,,,,,,,,
Head Over Boots,Jon Pardi,75,202347,0.688,0,7,0.0863,-4.474,108.008,0.0262,4,0.563,,,,,,,,,,,,,,,,,,,,,,,,
Veda Türküsü,Emre Fel,68,201671,0.486,2.06E-05,8,0.134,-7.859,134.916,0.0262,4,0.492,,,,,,,,,,,,,,,,,,,,,,,,
Type Shit,Future,91,228267,0.552,0,2,0.119,-5.679,144.941,0.129,4,0.64,,,,,,,,,,,,,,,,,,,,,,,,
No love,Ninho,68,202187,0.436,0,8,0.0951,-7.932,80.431,0.391,4,0.668,,,,,,,,,,,,,,,,,,,,,,,,
XO Tour Llif3,Lil Uzi Vert,81,182707,0.75,0,11,0.109,-6.366,155.096,0.231,4,0.732,,,,,,,,,,,,,,,,,,,,,,,,
Whispers in the Dark,MONSTA X,43,220546,0.665,0.00712,0,0.123,-6.112,142.996,0.0344,4,0.62,,,,,,,,,,,,,,,,,,,,,,,,
como un velero (interludio),Rels B,69,53000,0.302,9.57E-05,8,0.113,-18.411,169.95,0.852,3,0.59,,,,,,,,,,,,,,,,,,,,,,,,
Straight and Narrow,Sam Barber,79,199875,0.278,2.22E-05,10,0.135,-8.83,85.633,0.0331,3,0.427,,,,,,,,,,,,,,,,,,,,,,,,
Gotas De Lluvia,Grupo Niche,68,354973,0.856,0.00019,4,0.0565,-3.946,97.276,0.0375,4,0.635,,,,,,,,,,,,,,,,,,,,,,,,
El Amor De Su Vida,Julión Álvarez y su Norteño Banda,74,219373,0.595,2.66E-06,8,0.0949,-5.922,100.009,0.0284,3,0.676,,,,,,,,,,,,,,,,,,,,,,,,
Area Codes,Kaliii,76,139326,0.388,0,1,0.0876,-10.867,154.569,0.491,4,0.823,,,,,,,,,,,,,,,,,,,,,,,,
CONTIGO (with Tiësto),KAROL G,88,192787,0.545,6.23E-06,5,0.0989,-7.826,122.029,0.0736,4,0.846,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Out The Slammer,Taylor Swift,69,210789,0.503,0,9,0.111,-9.383,87.755,0.0403,4,0.323,,,,,,,,,,,,,,,,,,,,,,,,
Nochentera,Vicco,70,202185,0.728,0,8,0.119,-6.456,121.92,0.0533,4,0.802,,,,,,,,,,,,,,,,,,,,,,,,
The Prophecy,Taylor Swift,87,249807,0.52,1.60E-06,10,0.294,-10.279,168.177,0.0486,4,0.434,,,,,,,,,,,,,,,,,,,,,,,,
We Found Love,Rihanna,85,215227,0.766,0.00138,1,0.108,-4.485,127.986,0.0383,4,0.734,,,,,,,,,,,,,,,,,,,,,,,,
Hit 'Em Up - Single Version,2Pac,79,312627,0.844,0,7,0.0778,-3.967,95.19,0.236,4,0.916,,,,,,,,,,,,,,,,,,,,,,,,
pa la europa,FloyyMenor,71,219754,0.482,0,7,0.325,-9.208,96.978,0.331,4,0.866,,,,,,,,,,,,,,,,,,,,,,,,
Thought You Should Know,Morgan Wallen,78,215572,0.678,6.23E-06,6,0.138,-6.16,140.05,0.0278,4,0.53,,,,,,,,,,,,,,,,,,,,,,,,
Back to the Old House - 2011 Remaster,The Smiths,79,186627,0.488,0.000188,2,0.141,-7.805,104.13,0.0253,3,0.626,,,,,,,,,,,,,,,,,,,,,,,,
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,79,214480,0.585,3.94E-06,8,0.0644,-5.861,105.017,0.0432,4,0.803,,,,,,,,,,,,,,,,,,,,,,,,
"Poolamme Pilla (From ""HanuMan"") [Telugu]",GowraHari,71,267682,0.844,0.000652,5,0.0916,-6.538,155.961,0.0816,4,0.745,,,,,,,,,,,,,,,,,,,,,,,,
Então Salva na Espanhola X Vou Te Passa a Balinha,DJ R9 DA ZO,67,75121,0.934,0.00506,2,0.142,1.788,130.002,0.299,4,0.843,,,,,,,,,,,,,,,,,,,,,,,,
Si Veo a Tu Mamá,Bad Bunny,77,170972,0.603,4.81E-06,2,0.134,-5.313,129.928,0.0646,4,0.9,,,,,,,,,,,,,,,,,,,,,,,,
"Because You Loved Me (Theme from ""Up Close and Personal"")",Céline Dion,73,273667,0.467,0,1,0.099,-9.883,119.919,0.0327,4,0.615,,,,,,,,,,,,,,,,,,,,,,,,
BAD BOY,Chris Jedi,73,235147,0.711,0.000111,1,0.418,-4.892,94.972,0.0843,4,0.766,,,,,,,,,,,,,,,,,,,,,,,,
Tertawan Hati,Awdella,74,237864,0.431,0,6,0.108,-5.831,128.658,0.0319,4,0.318,,,,,,,,,,,,,,,,,,,,,,,,
Drip Too Hard (Lil Baby & Gunna),Lil Baby,82,145543,0.662,0,1,0.534,-6.903,112.511,0.292,4,0.897,,,,,,,,,,,,,,,,,,,,,,,,
FFYL,Quinn XCII,51,226500,0.762,5.72E-06,5,0.117,-4.759,120.038,0.0532,4,0.723,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Cooks (feat. 21 Savage),Drake,85,218365,0.673,2.41E-06,0,0.093,-4.711,165.921,0.175,4,0.529,,,,,,,,,,,,,,,,,,,,,,,,
Ain't No Rest for the Wicked,Cage The Elephant,78,175493,0.849,0,0,0.372,-7.075,156.036,0.106,4,0.636,,,,,,,,,,,,,,,,,,,,,,,,
Mi Amor,Sharn,74,203049,0.703,4.23E-06,4,0.11,-5.297,81.99,0.0789,4,0.637,,,,,,,,,,,,,,,,,,,,,,,,
Where Is My Mind? - 2007 Remaster,Pixies,77,234973,0.441,0.000453,4,0.076,-14.178,81.334,0.0353,4,0.519,,,,,,,,,,,,,,,,,,,,,,,,
DILUVIO,Rauw Alejandro,86,197053,0.795,1.78E-05,9,0.224,-3.502,94.969,0.0681,4,0.845,,,,,,,,,,,,,,,,,,,,,,,,
LAGUNAS,Peso Pluma,80,231247,0.622,0.00603,11,0.149,-10.621,115.952,0.026,3,0.77,,,,,,,,,,,,,,,,,,,,,,,,
200 COPAS,KAROL G,76,217213,0.704,0,9,0.415,-5.25,91.246,0.206,3,0.515,,,,,,,,,,,,,,,,,,,,,,,,
Dancing In the Dark,Bruce Springsteen,82,241307,0.942,0,1,0.188,-5.64,148.723,0.0366,4,0.527,,,,,,,,,,,,,,,,,,,,,,,,
Cincin,Hindia,73,266330,0.882,0,4,0.621,-4.205,155.024,0.0559,4,0.531,,,,,,,,,,,,,,,,,,,,,,,,
Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,80,239000,0.437,1.32E-06,11,0.106,-6.589,180.042,0.0386,4,0.259,,,,,,,,,,,,,,,,,,,,,,,,
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,83,244685,0.652,1.39E-06,8,0.162,-6.249,87.521,0.0325,4,0.531,,,,,,,,,,,,,,,,,,,,,,,,
imperfect for you,Ariana Grande,81,182567,0.389,0,4,0.433,-7.413,150.116,0.0333,3,0.635,,,,,,,,,,,,,,,,,,,,,,,,
ENVIE7VIE,Zola,62,140413,0.684,0.000204,11,0.116,-5.678,95.02,0.141,4,0.835,,,,,,,,,,,,,,,,,,,,,,,,
CARACAS EN EL 2000,ELENA ROSE,65,227785,0.71,0,2,0.0944,-6.834,117.99,0.0455,4,0.85,,,,,,,,,,,,,,,,,,,,,,,,
prove it,21 Savage,77,207586,0.743,0,6,0.23,-5.418,133.897,0.167,4,0.559,,,,,,,,,,,,,,,,,,,,,,,,
Aunque no te pueda ver,Alex Ubago,72,266667,0.457,0,4,0.1,-8.673,117.989,0.0303,4,0.594,,,,,,,,,,,,,,,,,,,,,,,,
Até o Sol Raiar,MC Hariel,72,173567,0.44,1.89E-06,11,0.198,-5.18,90.058,0.0792,4,0.803,,,,,,,,,,,,,,,,,,,,,,,,
Como É Que A Gente Fica - Ao Vivo,Henrique & Juliano,74,163914,0.838,0,0,0.349,-3.035,117.715,0.0636,3,0.499,,,,,,,,,,,,,,,,,,,,,,,,
Horas Iguais,WIU,69,246942,0.618,0,6,0.0737,-5.295,120.987,0.0387,4,0.796,,,,,,,,,,,,,,,,,,,,,,,,
Breakeven,The Script,78,261427,0.696,0,10,0.0835,-4.501,94.034,0.0242,4,0.63,,,,,,,,,,,,,,,,,,,,,,,,
posta,TINI,69,121290,0.56,0,9,0.0972,-7.136,93.014,0.109,4,0.733,,,,,,,,,,,,,,,,,,,,,,,,
Yansıma,Derya Uluğ,76,169565,0.446,7.17E-05,4,0.321,-7.432,115.017,0.0633,4,0.771,,,,,,,,,,,,,,,,,,,,,,,,
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,73,284780,0.396,0,11,0.11,-7.556,70.368,0.0366,4,0.427,,,,,,,,,,,,,,,,,,,,,,,,
Masing Masing,Ernie Zakri,61,234590,0.496,0,3,0.251,-5.352,133.845,0.0292,4,0.449,,,,,,,,,,,,,,,,,,,,,,,,
9:45,Prabh Singh,78,117606,0.455,3.59E-06,1,0.156,-7.763,99.958,0.0997,4,0.796,,,,,,,,,,,,,,,,,,,,,,,,
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Rocky,84,190286,0.652,4.08E-05,2,0.175,-9.629,141.981,0.0561,4,0.47,,,,,,,,,,,,,,,,,,,,,,,,
Pakundangan (feat. Hev Abi),DEMI,76,197933,0.583,0,1,0.181,-4.589,139.917,0.0362,4,0.702,,,,,,,,,,,,,,,,,,,,,,,,
Favorite Girl,Justin Bieber,78,256800,0.681,0,7,0.104,-4.469,176.034,0.0435,4,0.581,,,,,,,,,,,,,,,,,,,,,,,,
Bachata Rosa,Juan Luis Guerra 4.40,71,257080,0.651,1.46E-06,7,0.242,-5.967,116.484,0.0262,4,0.628,,,,,,,,,,,,,,,,,,,,,,,,
Avec classe (feat. Aya Nakamura & Trinix),Corneille,74,186072,0.693,0,7,0.111,-6.929,105.025,0.0544,4,0.773,,,,,,,,,,,,,,,,,,,,,,,,
1 2 3 4,Zokush,63,180793,0.663,0,11,0.113,-7.199,129.985,0.125,4,0.821,,,,,,,,,,,,,,,,,,,,,,,,
Got Me Started,Troye Sivan,78,198448,0.686,0.00148,7,0.318,-6.498,127.002,0.0308,4,0.777,,,,,,,,,,,,,,,,,,,,,,,,
春愁,Mrs. GREEN APPLE,73,183800,0.444,0,10,0.123,-4.903,129.962,0.0412,4,0.724,,,,,,,,,,,,,,,,,,,,,,,,
Secukupnya,Hindia,73,205466,0.796,0.0606,9,0.354,-5.098,102.006,0.0344,4,0.731,,,,,,,,,,,,,,,,,,,,,,,,
QUÉ ROLLITO PRIMAVERA,Dani Flow,69,192267,0.801,0.000165,1,0.544,-4.049,93.035,0.0606,4,0.802,,,,,,,,,,,,,,,,,,,,,,,,
Digitando,Gustavo Moura & Rafael,83,195749,0.669,0,8,0.362,-5.626,107.071,0.0334,4,0.662,,,,,,,,,,,,,,,,,,,,,,,,
Hati-Hati di Jalan,Tulus,75,242000,0.436,0.0889,6,0.115,-11.322,71.969,0.0357,4,0.643,,,,,,,,,,,,,,,,,,,,,,,,
Puis t'as dansé avec moi,Hoshi,68,217587,0.724,0,2,0.121,-4.735,90.044,0.117,4,0.675,,,,,,,,,,,,,,,,,,,,,,,,
Bebezinhas da Facul,Mc Paiva ZS,66,236308,0.578,0.000449,1,0.0663,-6.117,84.178,0.271,5,0.606,,,,,,,,,,,,,,,,,,,,,,,,
That's My Kind Of Night,Luke Bryan,73,190187,0.751,0,7,0.105,-2.909,109.995,0.0481,4,0.661,,,,,,,,,,,,,,,,,,,,,,,,
Qual é seu desejo?,Tz da Coronel,82,153429,0.539,0,5,0.115,-4.376,133.014,0.0405,4,0.843,,,,,,,,,,,,,,,,,,,,,,,,
Dans l'univers,Nekfeu,64,244320,0.419,0.000271,11,0.137,-9.962,131.936,0.168,4,0.64,,,,,,,,,,,,,,,,,,,,,,,,
Still Your Best,Giveon,68,177446,0.406,0,3,0.144,-7.681,113.467,0.0654,4,0.535,,,,,,,,,,,,,,,,,,,,,,,,
Wo Noor,AP Dhillon,67,199420,0.554,0.00844,1,0.0802,-8.119,92.52,0.0854,4,0.761,,,,,,,,,,,,,,,,,,,,,,,,
En El Muelle de San Blas,Maná,75,352160,0.693,5.62E-06,2,0.0978,-5.735,97.159,0.0235,4,0.64,,,,,,,,,,,,,,,,,,,,,,,,
Hooka,Don Omar,75,237973,0.863,0,1,0.491,-5.082,170.014,0.154,4,0.73,,,,,,,,,,,,,,,,,,,,,,,,
A 300,JC Reyes,74,169209,0.725,0,1,0.0702,-5.821,138.867,0.171,4,0.792,,,,,,,,,,,,,,,,,,,,,,,,
Keep The Wolves Away,Uncle Lucius,71,275520,0.351,0.000593,1,0.11,-10.276,122.212,0.0318,4,0.683,,,,,,,,,,,,,,,,,,,,,,,,
